counterfeit_smiles,parent_smiles,category,similarity_to_parent,qed,sa_score,p_counterfeit,n_edited_atoms,edited_atoms
CCC#CCNC(c1ccccc1)c1ccccc1,COc1ccc(C(C#N)(CC#CCNC(c2ccccc2)c2ccccc2)C(C)C)cc1OC.Cl,evolved,0.412,0.813,2.19,,0,
CCC(C#N)(c1ccc(OC)c(OC)c1)C(C)CO,COc1ccc(C(C#N)(CC#CCNC(c2ccccc2)c2ccccc2)C(C)C)cc1OC.Cl,evolved,0.408,0.856,3.27,,1,18
CCc1ccc2c(c1)N=C(N1CCN(C)CC1)c1sc(CC)cc1N2,CCc1cc2c(s1)C(N1CCN(C)CC1)=Nc1cc(C(F)(F)F)ccc1N2,evolved,0.701,0.874,2.9,,1,0
CCc1cc2c(s1)C(N1CCN(C)CC1)=Nc1cc(CF)ccc1N2,CCc1cc2c(s1)C(N1CCN(C)CC1)=Nc1cc(C(F)(F)F)ccc1N2,evolved,0.705,0.874,3.06,,0,
COc1cccc(C2=NCC(=O)Nc3ccc(Cl)cc32)c1,O=C1CN=C(c2ccc(Cl)cc2)c2cc(I)ccc2N1,evolved,0.43,0.926,2.26,,3,0 1 17
COc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,O=C1CN=C(c2ccc(Cl)cc2)c2cc(I)ccc2N1,evolved,0.427,0.907,2.13,,2,0 1
Cc1ccc(C2=NCC(=O)Nc3ccc(-c4ccccc4)cc32)cc1,O=C1CN=C(c2ccc(Cl)cc2)c2cc(I)ccc2N1,evolved,0.486,0.742,2.13,,7,0 15 16 17 18 19 20
CNc1nc(N)nc2cc(OC)c(OC(C)C)cc12,COc1cc2nc(N)nc(Nc3cccc(Br)c3)c2cc1OC,evolved,0.405,0.877,2.28,,3,0 15 16
COc1cc2nc(N)nc(Nc3cccc(C)c3)c2cc1OC,COc1cc2nc(N)nc(Nc3cccc(Br)c3)c2cc1OC,evolved,0.723,0.769,2.03,,1,16
N#Cc1ccccc1OCC(=O)Nc1ccccc1,N#Cc1ccccc1OCC(O)CNCCNC(=O)Nc1ccccc1,evolved,0.462,0.909,1.59,,8,11 12 13 14 15 16 17 18
Cc1cnc2n(c1=O)C(C)CCC2=NNC(=O)Cc1ccccc1,CNN=C1CCC(C)n2c1ncc(C(=O)O)c2=O,evolved,0.469,0.877,3.04,,8,16 17 18 19 20 21 22 23
Cc1cnc2n(c1=O)C(C)CCC2=NNCc1ccccc1,CNN=C1CCC(C)n2c1ncc(C(=O)O)c2=O,evolved,0.425,0.885,3.27,,6,16 17 18 19 20 21
CCC(C(=O)Nc1c(C)cccc1C)c1ccccc1,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,evolved,0.443,0.872,2.16,,6,14 15 16 17 18 19
CCCN(CC(=O)Nc1c(C)cccc1C)CC(C)(C)C,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,evolved,0.4,0.859,2.14,,3,18 19 20
CCC(C(=O)Nc1c(C)cccc1C)N(C)C(C)(C)C,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,evolved,0.571,0.908,2.73,,2,18 19
Nc1ncnc2c1ncn2CCOC(F)(F)F,C[C@H](Cn1cnc2c(N)ncnc21)OC[P+](=O)O,evolved,0.414,0.873,2.63,,3,14 15 16
Nc1ncnc2c1ncn2CCC(F)(F)F,C[C@H](Cn1cnc2c(N)ncnc21)OC[P+](=O)O,evolved,0.412,0.847,2.55,,3,13 14 15
CC(C)OCCn1cnc2c(N)ncnc21,C[C@H](Cn1cnc2c(N)ncnc21)OC[P+](=O)O,evolved,0.493,0.827,2.45,,2,0 2
CC(C)OCC(F)(F)CCn1cnc2c(N)ncnc21,C[C@H](Cn1cnc2c(N)ncnc21)OC[P+](=O)O,evolved,0.434,0.876,2.93,,7,0 1 2 3 4 6 7
CCCCn1cnc2c(N)ncnc21,C[C@H](Cn1cnc2c(N)ncnc21)OC[P+](=O)O,evolved,0.439,0.791,2.24,,1,0
Nc1ncnc2c1ncn2CCOc1ccccc1,C[C@H](Cn1cnc2c(N)ncnc21)OC[P+](=O)O,evolved,0.4,0.764,2.04,,6,13 14 15 16 17 18
CCCCCCCn1cnc2c(N)ncnc21,C[C@H](Cn1cnc2c(N)ncnc21)OC[P+](=O)O,evolved,0.408,0.778,2.19,,4,0 1 2 3
Nc1ncnc2c1ncn2Cc1ccccc1,C[C@H](Cn1cnc2c(N)ncnc21)OC[P+](=O)O,evolved,0.4,0.716,1.95,,6,11 12 13 14 15 16
CC(=O)Cc1ccc(/C=N/N2CC(=O)NC2=O)o1,CC#N.NC(=O)c1ccc(N)cc1.O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,evolved,0.44,0.613,2.94,,4,0 1 2 3
CCCNc1nccc(Nc2cccc(Cl)c2)n1,Nc1nccc(Nc2cccc(Cl)c2)n1,evolved,0.532,0.863,2.04,,3,0 1 2
O=C(Nc1nccc(Nc2cccc(Cl)c2)n1)OCl,Nc1nccc(Nc2cccc(Cl)c2)n1,evolved,0.531,0.906,2.46,,4,0 1 17 18
Cc1nccc(Nc2cccc(Cl)c2)n1,Nc1nccc(Nc2cccc(Cl)c2)n1,evolved,0.623,0.843,1.94,,1,0
Clc1cccc(Nc2ccnc(Nc3ccccc3)n2)c1,Nc1nccc(Nc2cccc(Cl)c2)n1,evolved,0.541,0.738,1.86,,6,13 14 15 16 17 18
COc1c2occc2c(OCCO)c2ccc(=O)oc12,COCc1c2ccoc2c(OC)c2oc(=O)ccc12,evolved,0.507,0.733,2.66,,4,9 10 11 12
CCCOc1c2ccoc2c(OC)c2oc(=O)ccc12,COCc1c2ccoc2c(OC)c2oc(=O)ccc12,evolved,0.515,0.683,2.58,,4,0 1 2 3
COc1c2ccoc2c(OC)c2oc(=O)ccc12,COCc1c2ccoc2c(OC)c2oc(=O)ccc12,evolved,0.576,0.65,2.56,,2,0 1
COc1c2ccoc2c(C)c2oc(=O)ccc12,COCc1c2ccoc2c(OC)c2oc(=O)ccc12,evolved,0.418,0.603,2.5,,3,0 1 9
COc1c2occc2c(OCc2ccccc2)c2ccc(=O)oc12,COCc1c2ccoc2c(OC)c2oc(=O)ccc12,evolved,0.507,0.529,2.37,,8,9 10 11 12 13 14 15 16
CN1CCC[C@@H]1CNS(=O)(=O)c1ccccc1F,CN1CCC[C@@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccccc3F)cc12,evolved,0.437,0.896,2.52,,7,0 1 2 3 4 5 6
O=S(=O)(Nc1ccc2[nH]cc(F)c2c1)c1ccccc1F,CN1CCC[C@@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccccc3F)cc12,evolved,0.524,0.78,2.13,,1,11
O=S(=O)(Nc1ccc2[nH]cc(-c3ccccc3)c2c1)c1ccccc1F,CN1CCC[C@@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccccc3F)cc12,evolved,0.473,0.546,2.0,,6,11 12 13 14 15 16
Nc1nc(N)c2c(Cc3ccc4ccccc4c3)cccc2n1,Nc1nc(N)c2c(/C=C/c3ccc4ccccc4c3)cccc2n1,evolved,0.407,0.593,2.13,,10,8 9 10 11 12 13 14 15 16 17
Nc1nc(N)c2c(-c3ccc4ccccc4c3)cccc2n1,Nc1nc(N)c2c(/C=C/c3ccc4ccccc4c3)cccc2n1,evolved,0.429,0.56,2.03,,10,7 8 9 10 11 12 13 14 15 16
OCc1ccc(Cl)cc1Cc1ccc2c(c1)OC=CO2,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc4c(c3)OC=CO4)c2)[C@H](O)[C@@H](O)[C@@H]1O,evolved,0.4,0.936,2.67,,3,0 1 6
Clc1ccc(-c2ccccc2)cc1Cc1ccc2c(c1)OC=CO2,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc4c(c3)OC=CO4)c2)[C@H](O)[C@@H](O)[C@@H]1O,evolved,0.453,0.599,2.37,,1,10
CNC1=Nc2ccc(F)cc2Nc2sc3ccccc3c21,CN1CCN(C2=Nc3ccc(F)cc3Nc3sc4ccccc4c32)CC1CCc1ccc(F)cc1,evolved,0.452,0.645,2.83,,2,0 1
CC1=Nc2ccc(F)cc2Nc2sc3ccccc3c21,CN1CCN(C2=Nc3ccc(F)cc3Nc3sc4ccccc4c32)CC1CCc1ccc(F)cc1,evolved,0.461,0.599,2.7,,1,0
CCN1CCN(C)C(NC2=Nc3ccc(F)cc3Nc3sc4ccccc4c32)C1,CN1CCN(C2=Nc3ccc(F)cc3Nc3sc4ccccc4c32)CC1CCc1ccc(F)cc1,evolved,0.487,0.66,3.62,,10,0 1 2 3 4 5 6 7 8 28
Fc1ccc2c(c1)Nc1sc3ccccc3c1C(c1ccccc1)=N2,CN1CCN(C2=Nc3ccc(F)cc3Nc3sc4ccccc4c32)CC1CCc1ccc(F)cc1,evolved,0.435,0.381,2.53,,6,18 19 20 21 22 23
Fc1ccc2c(c1)Nc1sc3ccccc3c1C(c1ccc(-c3ccccc3)cc1)=N2,CN1CCN(C2=Nc3ccc(F)cc3Nc3sc4ccccc4c32)CC1CCc1ccc(F)cc1,evolved,0.412,0.302,2.51,,12,18 19 20 21 22 23 24 25 26 27 28 29
COc1ccc(C2Sc3cc(Cl)ccc3N(OC)C(=O)C2OC)cc1,COc1ccc(C2Sc3cc(Cl)ccc3N(CCN(C)C)C(=O)C2OC(=O)c2ccc(C)cc2)cc1,evolved,0.446,0.8,3.37,,2,16 17
CCCN1C(=O)C(OC)C(c2ccc(C)cc2)Sc2cc(Cl)ccc21,COc1ccc(C2Sc3cc(Cl)ccc3N(CCN(C)C)C(=O)C2OC(=O)c2ccc(C)cc2)cc1,evolved,0.531,0.73,3.15,,2,0 14
COc1ccc(C2Sc3cc(OC)ccc3N(CCN(C)C)C(=O)C2F)cc1,COc1ccc(C2Sc3cc(Cl)ccc3N(CCN(C)C)C(=O)C2OC(=O)c2ccc(C)cc2)cc1,evolved,0.438,0.733,3.3,,3,11 12 25
O=C(OCc1ccc(O)cc1)c1ccc(O)cc1,CC(C)NCC(O)COC(=O)c1ccc(O)cc1,evolved,0.407,0.814,1.6,,7,4 5 6 7 8 9 10
CC(C)OC(=O)c1ccc(CCOC(=O)c2ccc(O)cc2)cc1,CC(C)NCC(O)COC(=O)c1ccc(O)cc1,evolved,0.4,0.823,1.84,,12,0 1 2 3 4 5 6 7 8 9 22 23
CCCOC(=O)c1ccc(O)cc1,CC(C)NCC(O)COC(=O)c1ccc(O)cc1,evolved,0.442,0.723,1.55,,0,
CCOC(=O)c1ccc(O)cc1,CC(C)NCC(O)COC(=O)c1ccc(O)cc1,evolved,0.469,0.678,1.4,,0,
CCC(=O)Nc1ncnc2cc(OC)c(OC)cc12,COc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,evolved,0.419,0.911,2.02,,4,0 1 2 3
COc1cc2ncnc(NC(=O)C(C)(F)F)c2cc1OC,COc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,evolved,0.432,0.937,2.36,,6,10 11 12 13 14 15
CCNc1ncnc2cc(OC)c(OC)cc12,COc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,evolved,0.478,0.876,1.98,,2,0 1
COc1cc2ncnc(NC(=O)c3ccccc3)c2cc1OC,COc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,evolved,0.4,0.802,1.84,,8,10 11 12 13 14 15 16 17
COc1cc2ncnc(Nc3ccccc3)c2cc1OC,COc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,evolved,0.514,0.794,1.81,,0,
COc1ccc(C2(CCO)CCCC2)cc1OC,COc1ccc(C2(CN(C(C)=O)C(C)=O)CCCC2)cc1OC,evolved,0.552,0.873,2.2,,2,8 9
CNCC1(c2ccc(OC)c(OC)c2)CCCC1,COc1ccc(C2(CN(C(C)=O)C(C)=O)CCCC2)cc1OC,evolved,0.525,0.87,2.19,,0,
COc1ccc(C2(CNc3ccccc3)CCCC2)cc1OC,COc1ccc(C2(CN(C(C)=O)C(C)=O)CCCC2)cc1OC,evolved,0.449,0.844,2.06,,6,9 10 11 12 13 14
COc1ccc(C2(CNCc3ccccc3)CCCC2)cc1OC,COc1ccc(C2(CN(C(C)=O)C(C)=O)CCCC2)cc1OC,evolved,0.437,0.823,2.05,,6,10 11 12 13 14 15
COCCc1c(-c2c(OC)ccc(Br)c2O)ccc2c1C(C)=CC(C)(C)N2,C=CCC1Oc2c(Br)ccc(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,evolved,0.4,0.644,2.94,,14,0 1 2 3 6 7 8 9 10 11 12 13 14 15
O=C(NCc1ccccc1)NCc1ccccc1,O=C(NCc1ccccc1)NC1(C(=O)N2CCCC2)CCCCC1,evolved,0.421,0.847,1.35,,7,11 12 13 14 15 16 17
O=C(NCc1ccccc1)NC1(c2ccccc2)CCCCC1,O=C(NCc1ccccc1)NC1(C(=O)N2CCCC2)CCCCC1,evolved,0.485,0.866,1.98,,6,12 13 14 15 16 17
COc1cccc([C@]2(O)CCCC[C@H]2CN2CCCCC2)c1,COc1cccc([C@]2(O)CCCC[C@H]2CN(C)C)c1.Cl,evolved,0.589,0.923,2.98,,6,15 16 17 18 19 20
CCOc1cccc([C@]2(O)CCCC[C@H]2C)c1,COc1cccc([C@]2(O)CCCC[C@H]2CN(C)C)c1.Cl,evolved,0.4,0.867,2.88,,1,0
COc1cccc([C@]2(O)CCCC[C@H]2C)c1,COc1cccc([C@]2(O)CCCC[C@H]2CN(C)C)c1.Cl,evolved,0.554,0.83,2.85,,0,
COc1cc([N+](=O)[O-])c(OC)cc1C(C)C,COc1cc([N+](=O)[O-])c(OC)cc1CC(C)N,evolved,0.451,0.583,1.99,,1,15
COc1cc([N+](=O)[O-])c(OC)cc1C,COc1cc([N+](=O)[O-])c(OC)cc1CC(C)N,evolved,0.42,0.548,1.84,,0,
COc1cc([N+](=O)[O-])c(OC)cc1C(C)CO,COc1cc([N+](=O)[O-])c(OC)cc1CC(C)N,evolved,0.429,0.626,2.69,,2,15 16
CC1CCC(NC(=O)NS(=O)(=O)c2ccccc2)CC1,CCC(Cc1ccc(S(=O)(=O)NC(=O)NC2CCC(C)CC2)cc1)NC=O,evolved,0.521,0.898,1.95,,0,
CCOc1ccc(OCC(C)(C)C(=O)O)cc1Cl,CC(C)(CCCOc1ccc(OCCCC(C)(C)C(=O)O)c(Cl)c1)C(=O)O,evolved,0.5,0.864,2.04,,4,11 12 13 14
COc1ccc(OCCO)cc1Cl,CC(C)(CCCOc1ccc(OCCCC(C)(C)C(=O)O)c(Cl)c1)C(=O)O,evolved,0.407,0.808,1.65,,1,9
CCCCOc1ccc(OCC)c(Cl)c1,CC(C)(CCCOc1ccc(OCCCC(C)(C)C(=O)O)c(Cl)c1)C(=O)O,evolved,0.466,0.688,1.59,,0,
CC(C)c1ccc(OCC(O)C(C)C)cc1,CC1CN(CC(O)COc2ccc(C(C)C)cc2)CC(C)O1.Cl,evolved,0.417,0.829,2.32,,2,12 13
CC1CN(CC(O)Cc2ccc(C(C)C)cc2)CC(C)O1,CC1CN(CC(O)COc2ccc(C(C)C)cc2)CC(C)O1.Cl,evolved,0.571,0.905,3.07,,9,8 9 10 11 12 13 14 15 16
CC1CN(CC(O)Cc2ccccc2)CC(C)O1,CC1CN(CC(O)COc2ccc(C(C)C)cc2)CC(C)O1.Cl,evolved,0.412,0.881,2.93,,6,8 9 10 11 12 13
CC(C)COc1ccc(C(C)C)cc1,CC1CN(CC(O)COc2ccc(C(C)C)cc2)CC(C)O1.Cl,evolved,0.404,0.704,1.55,,1,2
CC(C)c1ccc(OCC(O)CO)cc1,CC1CN(CC(O)COc2ccc(C(C)C)cc2)CC(C)O1.Cl,evolved,0.483,0.775,2.2,,1,12
Cc1cc(C)cc(-c2cc(O)c(Sc3ccc(F)cc3)c(=O)o2)c1,Cc1cc(C)cc(-c2cc(O)c(Sc3ccccc3C(C)C)c(=O)o2)c1,evolved,0.521,0.734,2.42,,1,17
Cc1cc(-c2ccccc2)cc(-c2cc(O)c(Sc3ccc(F)cc3)c(=O)o2)c1,Cc1cc(C)cc(-c2cc(O)c(Sc3ccccc3C(C)C)c(=O)o2)c1,evolved,0.414,0.435,2.38,,7,4 5 6 7 8 9 22
CCCc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,CCc1nc2c(n1Cc1ccc(-c3ccccc3-c3nn[nH]n3)cc1)C(O)(CC(=O)O)CCCC2,evolved,0.406,0.784,1.91,,2,0 1
COc1ccccc1CNCc1ccc(Cl)cc1Cl,CCCCNCc1ccc(Cl)cc1Cl.Cl,evolved,0.448,0.888,1.69,,8,0 1 2 3 4 5 6 7
Clc1ccc(CNCc2ccccc2)c(Cl)c1,CCCCNCc1ccc(Cl)cc1Cl.Cl,evolved,0.472,0.87,1.54,,6,8 9 10 11 12 13
Clc1ccc(CNc2ccccc2)c(Cl)c1,CCCCNCc1ccc(Cl)cc1Cl.Cl,evolved,0.415,0.841,1.52,,6,7 8 9 10 11 12
O=C(CCc1ccccc1)Nc1ccc(F)cc1Cl,CCCN=C(N)Nc1ccc(F)cc1Cl,evolved,0.409,0.897,1.51,,9,0 2 3 4 5 6 7 8 9
O=C(Nc1ccc(F)cc1Cl)c1ccc(F)cc1,CCCN=C(N)Nc1ccc(F)cc1Cl,evolved,0.4,0.879,1.48,,8,0 11 12 13 14 15 16 17
CC(C)(c1ccccc1)c1cc(C(=O)CCO)cc2c1OCC2,CC(C)(C)c1cc(C(=O)CCCC2CC2)cc2c1OCC2,evolved,0.45,0.86,2.48,,7,3 4 5 6 7 8 16
CC(C)(C)c1cc(C(=O)c2ccccc2)cc2c1OCC2,CC(C)(C)c1cc(C(=O)CCCC2CC2)cc2c1OCC2,evolved,0.466,0.772,2.14,,6,9 10 11 12 13 14
CCC[C@@H]1CC[C@]2(C)OOC13[C@H](OC(=O)[C@H](C)[C@@H]3C)O2,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1C32OO4,evolved,0.416,0.576,5.82,,4,0 1 2 18
COc1ccc2nc(SCC(=O)N(C)C)[nH]c2c1,COc1ccc2nc(SCc3nc(N)nc(Nc4ccccc4)n3)[nH]c2c1,evolved,0.42,0.856,2.14,,5,10 11 12 13 14
CCc1nc(N)nc(Nc2ccccc2)n1,COc1ccc2nc(SCc3nc(N)nc(Nc4ccccc4)n3)[nH]c2c1,evolved,0.425,0.815,1.96,,1,0
COc1ccc2nc(Sc3ccccc3)[nH]c2c1,COc1ccc2nc(SCc3nc(N)nc(Nc4ccccc4)n3)[nH]c2c1,evolved,0.419,0.776,1.95,,6,9 10 11 12 13 14
Nc1nc(COc2ccccc2)nc(Nc2ccccc2)n1,COc1ccc2nc(SCc3nc(N)nc(Nc4ccccc4)n3)[nH]c2c1,evolved,0.414,0.752,1.89,,7,5 6 7 8 9 10 11
COc1ccc2nc(SCc3ccccc3)[nH]c2c1,COc1ccc2nc(SCc3nc(N)nc(Nc4ccccc4)n3)[nH]c2c1,evolved,0.537,0.731,1.83,,5,11 12 13 14 15
CCNc1ccc2ncn3c4c(OC)cccc4c(=O)c1c23,CCN(CC)CCNc1ccc2ncn3c4c(OC)cccc4c(=O)c1c23,evolved,0.763,0.59,2.55,,0,
CCOC(=O)Nc1ccc2ncn3c4c(OC)cccc4c(=O)c1c23,CCN(CC)CCNc1ccc2ncn3c4c(OC)cccc4c(=O)c1c23,evolved,0.614,0.581,2.53,,4,0 1 2 4
CCCOc1cccc2c(=O)c3c(C)ccc4ncn(c12)c43,CCN(CC)CCNc1ccc2ncn3c4c(OC)cccc4c(=O)c1c23,evolved,0.446,0.542,2.5,,3,0 1 13
COc1ccc2ncn3c4c(OC)cccc4c(=O)c1c23,CCN(CC)CCNc1ccc2ncn3c4c(OC)cccc4c(=O)c1c23,evolved,0.57,0.529,2.42,,2,0 1
COc1cccc2c(=O)c3c(Nc4ccccc4)ccc4ncn(c12)c43,CCN(CC)CCNc1ccc2ncn3c4c(OC)cccc4c(=O)c1c23,evolved,0.598,0.5,2.38,,6,12 13 14 15 16 17
COc1cccc2c(=O)c3c(OCc4ccccc4)ccc4ncn(c12)c43,CCN(CC)CCNc1ccc2ncn3c4c(OC)cccc4c(=O)c1c23,evolved,0.489,0.456,2.33,,8,11 12 13 14 15 16 17 18
CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](c2ccccc2)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC1=O,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC1=O,evolved,0.43,0.421,4.44,,6,14 15 16 17 18 19
O=C(Cc1ccccc1)N1CCn2c(nnc2C(F)(F)F)C1,O=C(CC(Cc1cc(F)c(F)cc1F)NS(=O)(=O)O)N1CCn2c(nnc2C(F)(F)F)C1,evolved,0.429,0.851,2.29,,6,3 4 5 6 7 8
CNC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)c1ccccc1C,O=C(CC(Cc1cc(F)c(F)cc1F)NS(=O)(=O)O)N1CCn2c(nnc2C(F)(F)F)C1,evolved,0.44,0.901,3.08,,8,0 19 20 21 22 23 24 25
C=C(c1ccccc1Cl)c1cc([N+](=O)OC)ccc1Cl,C=C(c1ccccc1Cl)c1cc([N+](=O)[O-])ccc1NC(=O)C(C)F,evolved,0.408,0.742,2.75,,2,15 19
C=C(c1ccccc1C)c1cc([N+](=O)OC)ccc1NC(=O)C(C)F,C=C(c1ccccc1Cl)c1cc([N+](=O)[O-])ccc1NC(=O)C(C)F,evolved,0.532,0.795,3.39,,2,8 15
C=C(c1cccc([N+](=O)[O-])c1)c1ccccc1Cl,C=C(c1ccccc1Cl)c1cc([N+](=O)[O-])ccc1NC(=O)C(C)F,evolved,0.413,0.609,1.99,,0,
CC(F)C(=O)Nc1ccc([N+](=O)[O-])cc1Cl,C=C(c1ccccc1Cl)c1cc([N+](=O)[O-])ccc1NC(=O)C(C)F,evolved,0.522,0.658,2.62,,1,15
CCCNS(=O)(=O)c1cc2ccc(Cl)nc2s1,O=C1[C@@H](NS(=O)(=O)c2cc3ccc(Cl)nc3s2)CCN1CCNc1ccncc1,evolved,0.402,0.881,2.58,,3,0 1 2
O=S(=O)(NCCCNc1ccccc1)c1cc2ccc(Cl)nc2s1,O=C1[C@@H](NS(=O)(=O)c2cc3ccc(Cl)nc3s2)CCN1CCNc1ccncc1,evolved,0.402,0.483,2.43,,10,4 5 6 7 8 9 10 11 12 13
CN1CCN(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)CC1,CCCCc1nc(C)c(CC(=O)N2CCN(C)CC2)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,evolved,0.476,0.793,2.06,,3,0 1 24
COc1ccc(C2CC(=O)N(C)c3ccccc3S2)cc1,COc1ccc(C2CC(=O)N(CC(=O)Nc3cccc(F)c3)c3ccccc3S2)cc1,evolved,0.457,0.842,2.56,,0,
COCN1C(=O)CC(c2ccc(F)cc2)Sc2ccccc21,COc1ccc(C2CC(=O)N(CC(=O)Nc3cccc(F)c3)c3ccccc3S2)cc1,evolved,0.463,0.857,2.79,,3,0 1 12
COc1ccc(C2CC(=O)N(OC)c3ccccc3S2)cc1,COc1ccc(C2CC(=O)N(CC(=O)Nc3cccc(F)c3)c3ccccc3S2)cc1,evolved,0.452,0.863,2.85,,2,11 12
COc1ccc(C2CC(=O)N(Cc3ccccc3)c3ccccc3S2)cc1,COc1ccc(C2CC(=O)N(CC(=O)Nc3cccc(F)c3)c3ccccc3S2)cc1,evolved,0.51,0.606,2.49,,6,12 13 14 15 16 17
COC(c1ccc(C(C)(C)C)cc1)[C@@H]1CCCCN1,COC(=O)[C@@H](c1ccc(C(C)(C)C)cc1)[C@@H]1CCCCN1.Cl,evolved,0.532,0.893,3.1,,2,0 1
CC(C)(C)c1ccc([C@H](C(=O)[C@@H]2CCCCN2)c2ccccc2)cc1,COC(=O)[C@@H](c1ccc(C(C)(C)C)cc1)[C@@H]1CCCCN1.Cl,evolved,0.4,0.867,2.96,,7,11 12 13 14 15 16 22
COC(=O)[C@H](C)c1ccc(C(C)(C)C)cc1,COC(=O)[C@@H](c1ccc(C(C)(C)C)cc1)[C@@H]1CCCCN1.Cl,evolved,0.4,0.715,2.29,,1,5
CC(C)(C)CCCOCn1cnc2c(=O)[nH]c(N)nc21,CCOP(=O)(O)CC[C@H](CO)OCn1cnc2c(=O)[nH]c(N)nc21,evolved,0.455,0.808,2.8,,4,0 1 2 3
CCCCCn1cnc2c(=O)[nH]c(N)nc21,CCOP(=O)(O)CC[C@H](CO)OCn1cnc2c(=O)[nH]c(N)nc21,evolved,0.417,0.75,2.44,,4,0 1 2 3
CC1c2nncn2CCN1C(=O)Cc1ccc(O)cc1,O=C(Cc1ccc(C(F)(F)F)cc1)N1CCn2cnnc2C1CN1CCCC1,evolved,0.414,0.889,3.01,,1,17
CCc1ccc(CC(=O)N2CCn3cnnc3C2C)cc1,O=C(Cc1ccc(C(F)(F)F)cc1)N1CCn2cnnc2C1CN1CCCC1,evolved,0.414,0.866,2.93,,1,0
COc1ccc(CC(=O)N2CCn3cnnc3C2C)cc1,O=C(Cc1ccc(C(F)(F)F)cc1)N1CCn2cnnc2C1CN1CCCC1,evolved,0.4,0.856,2.88,,2,0 1
CCC[C@H]1C[C@H](NCC)c2cc(Cl)sc2S1(=O)=O,CCC[C@H]1C[C@H](NCC)c2cc(S(N)(=O)=O)sc2S1(=O)=O,evolved,0.651,0.927,4.03,,1,12
CCCc1cc2c(s1)S(=O)(=O)[C@@H](CCC)C[C@@H]2NC(C)=O,CCC[C@H]1C[C@H](NCC)c2cc(S(N)(=O)=O)sc2S1(=O)=O,evolved,0.429,0.902,3.9,,4,0 1 2 20
CCC[C@H]1C[C@H](NCc2ccccc2)c2cc(Cl)sc2S1(=O)=O,CCC[C@H]1C[C@H](NCC)c2cc(S(N)(=O)=O)sc2S1(=O)=O,evolved,0.45,0.839,3.57,,7,8 9 10 11 12 13 17
CN(C)CCCC(O)(c1ccccc1)c1ccc(F)cc1,CC(=O)OCc1cc(C#N)ccc1C(O)(CCCN(C)C)c1ccc(F)cc1,evolved,0.4,0.88,2.48,,0,
OCc1cccc(-c2ccc(F)cc2)c1,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(-c3cccc(CO)c3)cc2)N1c1ccc(F)cc1,evolved,0.412,0.793,1.47,,1,11
[CH][C@H](C)[C@H]1C(=O)N2C(c3ccccc3)=C(CN3CCC[C@H]3C(N)=O)S[C@H]12,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(CN3CCC[C@H]3C(N)=O)S[C@H]12,evolved,0.483,0.808,4.21,,7,2 8 9 10 11 12 13
C[C@@H](O)[C@H]1C(=O)N2C(CN3CCC[C@H]3C(N)=O)=C(c3ccccc3)S[C@H]12,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(CN3CCC[C@H]3C(N)=O)S[C@H]12,evolved,0.517,0.758,3.88,,14,9 10 11 12 13 14 15 16 18 19 20 21 22 23
NC(=O)[C@@H]1CCCN1CC1=C(c2ccccc2)N2C(=O)[C@H]([C@H](O)Cc3ccccc3)[C@H]2S1,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(CN3CCC[C@H]3C(N)=O)S[C@H]12,evolved,0.443,0.634,3.87,,12,11 12 13 14 15 16 24 25 26 27 28 29
